    nm         	nN
3.027341e+02	1.381966e+01
3.037106e+02	1.387505e+01
3.046872e+02	1.381966e+01
3.056638e+02	1.381966e+01
3.066403e+02	1.390274e+01
3.076169e+02	1.393044e+01
3.085935e+02	1.384735e+01
3.095701e+02	1.387505e+01
3.105466e+02	1.384735e+01
3.115232e+02	1.384735e+01
3.124998e+02	1.384735e+01
3.134763e+02	1.393044e+01
3.144529e+02	1.401352e+01
3.154295e+02	1.395813e+01
3.164060e+02	1.387505e+01
3.173826e+02	1.384735e+01
3.183592e+02	1.381966e+01
3.193358e+02	1.373657e+01
3.203123e+02	1.381966e+01
3.212889e+02	1.373657e+01
3.222655e+02	1.384735e+01
3.232420e+02	1.387505e+01
3.242186e+02	1.384735e+01
3.251952e+02	1.384735e+01
3.261717e+02	1.384735e+01
3.271483e+02	1.379196e+01
3.281249e+02	1.379196e+01
3.291015e+02	1.384735e+01
3.300780e+02	1.381966e+01
3.310546e+02	1.387505e+01
3.320312e+02	1.379196e+01
3.330077e+02	1.381966e+01
3.339843e+02	1.390274e+01
3.349609e+02	1.373657e+01
3.359374e+02	1.381966e+01
3.369140e+02	1.379196e+01
3.378906e+02	1.376427e+01
3.388672e+02	1.373657e+01
3.398437e+02	1.376427e+01
3.408203e+02	1.376427e+01
3.417969e+02	1.376427e+01
3.427734e+02	1.373657e+01
3.437500e+02	1.370888e+01
3.447266e+02	1.368118e+01
3.457031e+02	1.379196e+01
3.466797e+02	1.373657e+01
3.476563e+02	1.381966e+01
3.486329e+02	1.387505e+01
3.496094e+02	1.393044e+01
3.505860e+02	1.393044e+01
3.515626e+02	1.376427e+01
3.525391e+02	1.390274e+01
3.535157e+02	1.384735e+01
3.544923e+02	1.401352e+01
3.554688e+02	1.387505e+01
3.564454e+02	1.393044e+01
3.574220e+02	1.390274e+01
3.583986e+02	1.390274e+01
3.593751e+02	1.381966e+01
3.603517e+02	1.384735e+01
3.613283e+02	1.376427e+01
3.623048e+02	1.381966e+01
3.632814e+02	1.401352e+01
3.642580e+02	1.387505e+01
3.652345e+02	1.379196e+01
3.662111e+02	1.381966e+01
3.671877e+02	1.387505e+01
3.681643e+02	1.390274e+01
3.691408e+02	1.387505e+01
3.701174e+02	1.387505e+01
3.710940e+02	1.381966e+01
3.720705e+02	1.387505e+01
3.730471e+02	1.387505e+01
3.740237e+02	1.381966e+01
3.750002e+02	1.379196e+01
3.759768e+02	1.379196e+01
3.769534e+02	1.381966e+01
3.779300e+02	1.379196e+01
3.789065e+02	1.381966e+01
3.798831e+02	1.376427e+01
3.808597e+02	1.379196e+01
3.818362e+02	1.373657e+01
3.828128e+02	1.379196e+01
3.837894e+02	1.381966e+01
3.847659e+02	1.381966e+01
3.857425e+02	1.370888e+01
3.867191e+02	1.381966e+01
3.876956e+02	1.384735e+01
3.886722e+02	1.390274e+01
3.896488e+02	1.390274e+01
3.906254e+02	1.390274e+01
3.916019e+02	1.387505e+01
3.925785e+02	1.390274e+01
3.935551e+02	1.390274e+01
3.945316e+02	1.401352e+01
3.955082e+02	1.401352e+01
3.964848e+02	1.401352e+01
3.974613e+02	1.401352e+01
3.984379e+02	1.393044e+01
3.994145e+02	1.387505e+01
4.003911e+02	1.387505e+01
4.013676e+02	1.381966e+01
4.023442e+02	1.379196e+01
4.033208e+02	1.384735e+01
4.042973e+02	1.387505e+01
4.052739e+02	1.387505e+01
4.062505e+02	1.387505e+01
4.072270e+02	1.393044e+01
4.082036e+02	1.393044e+01
4.091802e+02	1.393044e+01
4.101568e+02	1.406891e+01
4.111333e+02	1.393044e+01
4.121099e+02	1.398583e+01
4.130865e+02	1.398583e+01
4.140630e+02	1.393044e+01
4.150396e+02	1.401352e+01
4.160162e+02	1.401352e+01
4.169927e+02	1.398583e+01
4.179693e+02	1.393044e+01
4.189459e+02	1.395813e+01
4.199225e+02	1.387505e+01
4.208990e+02	1.381966e+01
4.218756e+02	1.381966e+01
4.228522e+02	1.387505e+01
4.238287e+02	1.387505e+01
4.248053e+02	1.384735e+01
4.257819e+02	1.381966e+01
4.267584e+02	1.387505e+01
4.277350e+02	1.390274e+01
4.287116e+02	1.390274e+01
4.296882e+02	1.401352e+01
4.306647e+02	1.406891e+01
4.316413e+02	1.404122e+01
4.326179e+02	1.401352e+01
4.335944e+02	1.401352e+01
4.345710e+02	1.412430e+01
4.355476e+02	1.412430e+01
4.365241e+02	1.409660e+01
4.375007e+02	1.406891e+01
4.384773e+02	1.406891e+01
4.394539e+02	1.401352e+01
4.404304e+02	1.393044e+01
4.414070e+02	1.395813e+01
4.423836e+02	1.393044e+01
4.433601e+02	1.387505e+01
4.443367e+02	1.398583e+01
4.453133e+02	1.401352e+01
4.462898e+02	1.395813e+01
4.472664e+02	1.412430e+01
4.482430e+02	1.409660e+01
4.492196e+02	1.415199e+01
4.501961e+02	1.415199e+01
4.511727e+02	1.401352e+01
4.521493e+02	1.398583e+01
4.531258e+02	1.412430e+01
4.541024e+02	1.409660e+01
4.550790e+02	1.417969e+01
4.560555e+02	1.417969e+01
4.570321e+02	1.415199e+01
4.580087e+02	1.420738e+01
4.589853e+02	1.417969e+01
4.599618e+02	1.406891e+01
4.609384e+02	1.404122e+01
4.619150e+02	1.393044e+01
4.628915e+02	1.401352e+01
4.638681e+02	1.395813e+01
4.648447e+02	1.409660e+01
4.658212e+02	1.404122e+01
4.667978e+02	1.398583e+01
4.677744e+02	1.404122e+01
4.687510e+02	1.401352e+01
4.697275e+02	1.404122e+01
4.707041e+02	1.409660e+01
4.716807e+02	1.398583e+01
4.726572e+02	1.406891e+01
4.736338e+02	1.404122e+01
4.746104e+02	1.406891e+01
4.755869e+02	1.412430e+01
4.765635e+02	1.412430e+01
4.775401e+02	1.398583e+01
4.785167e+02	1.409660e+01
4.794932e+02	1.406891e+01
4.804698e+02	1.409660e+01
4.814464e+02	1.409660e+01
4.824229e+02	1.393044e+01
4.833995e+02	1.398583e+01
4.843761e+02	1.395813e+01
4.853526e+02	1.390274e+01
4.863292e+02	1.393044e+01
4.873058e+02	1.393044e+01
4.882824e+02	1.398583e+01
4.892589e+02	1.398583e+01
4.902355e+02	1.390274e+01
4.912121e+02	1.393044e+01
4.921886e+02	1.381966e+01
4.931652e+02	1.348732e+01
4.941418e+02	-7.781974e+00
4.951183e+02	-1.910876e+00
4.960949e+02	3.794175e+00
4.970715e+02	9.942399e+00
4.980481e+02	1.639527e+01
4.990246e+02	2.234963e+01
